experience_inventory_id,town_inventory_id,access_inventory_id
vermont_long_trail:side_trip:lawsons_finest_taproom,vermont_long_trail:town:vt_17:162.9:waitsfield,vermont_long_trail:access:vt_17:162.9
vermont_long_trail:side_trip:ben_jerrys_factory,vermont_long_trail:town:duxbury_road:181.6:waterbury,vermont_long_trail:access:duxbury_road:181.6
vermont_long_trail:side_trip:church_street_marketplace,vermont_long_trail:town:u_s_2:184.8:burlington,vermont_long_trail:access:u_s_2:184.8
vermont_long_trail:side_trip:von_trapp_bierhall,vermont_long_trail:town:vt_108:208.2:stowe,vermont_long_trail:access:vt_108:208.2
